"Rank","Player","Team","Position","Points","Games","Avg"
"363","Las Vegas Raiders","LV","DST","43.0","16","2.7"
"364","Chris Thompson","JAC","RB","42.6","8","5.3"
"365","Marquez Callaway","NO","WR","42.3","11","3.9"
"366","Pharaoh Brown","HOU","TE","42.3","13","3.3"
"367","Matt Breida","MIA","RB","42.0","12","3.5"
"368","Tyler Kroft","BUF","TE","41.9","10","4.2"
"369","Byron Pringle","KC","WR","41.0","12","3.4"
"370","Tyler Johnson","TB","WR","40.9","14","2.9"
"371","Freddie Swain","SEA","WR","40.9","16","2.6"
"372","Alfred Morris","NYG","RB","40.7","9","4.5"
"373","Ian Thomas","CAR","TE","40.5","16","2.5"
"374","AJ Dillon","GB","RB","40.3","11","3.7"
"375","Marcus Johnson","IND","WR","39.5","11","3.6"
"376","Aldrick Rosas","JAC","K","39.0","6","6.5"
"377","Jesse James","DET","TE","38.9","16","2.4"
"378","Marcedes Lewis","GB","TE","38.7","15","2.6"
"379","Adam Trautman","NO","TE","38.1","15","2.5"
"380","O.J. Howard","TB","TE","37.6","4","9.4"
"381","Mack Hollins","MIA","WR","37.6","16","2.4"
"382","Nick Boyle","BAL","TE","37.3","9","4.1"
"383","Royce Freeman","DEN","RB","37.1","16","2.3"
"384","Josh Adams","NYJ","RB","36.6","8","4.6"
"384","Zay Jones","LV","WR","36.6","16","2.3"
"386","Rodney Smith","CAR","RB","36.5","7","5.2"
"387","Bryan Edwards","LV","WR","36.3","12","3.0"
"388","Sergio Castillo","NYJ","K","36.0","6","6.0"
"388","Devonta Freeman","NYG","RB","36.0","5","7.2"
"390","Detroit Lions","DET","DST","35.0","16","2.2"
"391","Bisi Johnson","MIN","WR","34.9","16","2.2"
"392","Jake Luton","JAC","QB","34.3","3","11.4"
"393","Jeff Smith","NYJ","WR","33.7","12","2.8"
"394","Darwin Thompson","KC","RB","33.2","13","2.6"
"395","Foster Moreau","LV","TE","33.0","16","2.1"
"396","Travis Homer","SEA","RB","32.8","9","3.6"
"397","KeeSean Johnson","ARI","WR","32.3","8","4.0"
"398","Ray-Ray McCloud","PIT","WR","32.2","16","2.0"
"399","Jeff Driskel","DEN","QB","32.0","3","10.7"
"400","Jason Witten","LV","TE","31.9","16","2.0"
"401","Kenny Stills","HOU","WR","31.4","10","3.1"
"402","JaMycal Hasty","SF","RB","31.1","8","3.9"
"403","Ryan Izzo","NE","TE","30.9","12","2.6"
"404","Jordan Howard","Multi","RB","30.7","7","4.4"
"405","Mike Thomas","CIN","WR","30.3","14","2.2"
"406","Mike Nugent","ARI","K","30.0","4","7.5"
"406","Ameer Abdullah","MIN","RB","30.0","16","1.9"
"408","Cameron Batson","TEN","WR","30.0","12","2.5"
"409","Dare Ogunbowale","JAC","RB","29.9","14","2.1"
"410","Noah Brown","DAL","WR","29.8","16","1.9"
"411","Brandon Powell","ATL","WR","29.6","15","2.0"
"412","Nick Vannett","DEN","TE","29.5","15","2.0"
"413","Alec Ingold","LV","RB","29.4","16","1.8"
"413","Jace Sternberger","GB","TE","29.4","12","2.5"
"415","Kaden Smith","NYG","TE","29.2","15","2.0"
"416","Jamal Agnew","DET","WR","29.2","14","2.1"
"417","Albert Okwuegbunam","DEN","TE","29.1","4","7.3"
"418","KhaDarel Hodge","CLE","WR","29.0","9","3.2"
"418","Auden Tate","CIN","WR","29.0","9","3.2"
"420","John Hightower","PHI","WR","28.8","13","2.2"
"421","LeSean McCoy","TB","RB","28.2","10","2.8"
"422","Josh Lambo","JAC","K","28.0","4","7.0"
"423","Kalif Raymond","TEN","WR","27.4","15","1.8"
"424","Christian Blake","ATL","WR","27.1","16","1.7"
"425","Austin Seibert","Multi","K","27.0","5","5.4"
"426","Marcus Mariota","LV","QB","26.8","1","26.8"
"427","Tyler Ervin","GB","RB","26.1","8","3.3"
"428","Chris Hogan","NYJ","WR","25.8","5","5.2"
"429","Gunner Olszewski","NE","WR","25.5","13","2.0"
"429","C.J. Ham","MIN","RB","25.5","15","1.7"
"431","Equanimeous St. Brown","GB","WR","25.4","12","2.1"
"432","Vance McDonald","PIT","TE","24.9","14","1.8"
"433","Malcolm Perry","MIA","WR","24.7","9","2.7"
"434","Maxx Williams","ARI","TE","24.2","9","2.7"
"435","Chad Henne","KC","QB","23.7","3","7.9"
"436","Quez Watkins","PHI","WR","23.6","6","3.9"
"437","Alshon Jeffery","PHI","WR","23.5","7","3.4"
"438","Ke'Shawn Vaughn","TB","RB","23.3","10","2.3"
"438","Geoff Swaim","TEN","TE","23.3","10","2.3"
"440","Darrell Daniels","ARI","TE","23.2","12","1.9"
"441","Laquon Treadwell","ATL","WR","22.9","5","4.6"
"442","C.J. Uzomah","CIN","TE","22.7","2","11.4"
"442","Dez Bryant","BAL","WR","22.7","6","3.8"
"442","Anthony McFarland Jr.","PIT","RB","22.7","11","2.1"
"445","Alex Erickson","CIN","WR","22.6","16","1.4"
"446","DeMichael Harris","IND","WR","22.5","7","3.2"
"447","Blake Bell","DAL","TE","22.2","16","1.4"
"448","Troy Fumagalli","DEN","TE","22.0","8","2.8"
"448","Patrick Laird","MIA","RB","22.0","16","1.4"
"450","MyCole Pruitt","TEN","TE","21.9","11","2.0"
"451","Trayveon Williams","CIN","RB","21.7","10","2.2"
"452","C.J. Board","NYG","WR","21.4","14","1.5"
"453","Antonio Williams","BUF","RB","21.3","1","21.3"
"454","Ryan Finley","CIN","QB","21.2","5","4.2"
"455","Alex Collins","SEA","RB","21.1","3","7.0"
"456","Matthew Wright","PIT","K","21.0","3","7.0"
"456","Corey Clement","PHI","RB","21.0","15","1.4"
"456","D'Ernest Johnson","CLE","RB","21.0","16","1.3"
"459","Ryan Nall","CHI","RB","20.7","15","1.4"
"460","Jacoby Brissett","IND","QB","20.6","11","1.9"
"461","Gabe Nabers","LAC","RB","20.2","16","1.3"
"462","Chase McLaughlin","Multi","K","20.0","4","5.0"
"463","Troymaine Pope","LAC","RB","19.8","6","3.3"
"464","Lee Smith","BUF","TE","19.5","10","2.0"
"465","Mason Rudolph","PIT","QB","19.3","5","3.9"
"466","Colt McCoy","NYG","QB","19.1","4","4.8"
"467","Stephen Anderson","LAC","TE","18.6","16","1.2"
"467","Josh Hill","NO","TE","18.6","14","1.3"
"469","Trent Taylor","SF","WR","18.6","12","1.6"
"470","Malik Taylor","GB","WR","18.5","15","1.2"
"471","Ryan Griffin","NYJ","TE","17.6","15","1.2"
"472","Keith Smith","ATL","RB","17.6","16","1.1"
"473","Jakob Johnson","NE","RB","17.5","16","1.1"
"473","Tarik Cohen","CHI","RB","17.5","3","5.8"
"475","Patrick Ricard","BAL","RB","17.4","15","1.2"
"476","DeAndre Washington","Multi","RB","17.1","4","4.3"
"477","Javon Wims","CHI","WR","17.0","13","1.3"
"477","D'Onta Foreman","TEN","RB","17.0","6","2.8"
"479","Reggie Bonnafon","CAR","RB","16.7","2","8.4"
"480","Jaylen Samuels","PIT","RB","16.4","14","1.2"
"481","Justin Watson","TB","WR","16.4","11","1.5"
"482","T.J. Yeldon","BUF","RB","16.2","3","5.4"
"483","Austin Mack","NYG","WR","16.1","11","1.5"
"483","Darrynton Evans","TEN","RB","16.1","5","3.2"
"485","Jarrett Stidham","NE","QB","16.0","5","3.2"
"486","Ty Montgomery","NO","RB","15.8","6","2.6"
"487","Dante Pettis","Multi","WR","15.6","7","2.2"
"488","Garrett Gilbert","DAL","QB","15.5","2","7.8"
"489","Saquon Barkley","NYG","RB","15.4","2","7.7"
"490","Blaine Gabbert","TB","QB","15.3","4","3.8"
"490","Brett Rypien","DEN","QB","15.3","3","5.1"
"492","Mike Boone","MIN","RB","14.9","16","0.9"
"493","Parris Campbell","IND","WR","14.7","2","7.4"
"494","J.J. Arcega-Whiteside","PHI","WR","14.5","8","1.8"
"495","Chase Daniel","DET","QB","14.2","4","3.6"
"496","Virgil Green","LAC","TE","14.0","6","2.3"
"497","John Wolford","LAR","QB","13.8","1","13.8"
"498","Lil'Jordan Humphrey","NO","WR","13.6","3","4.5"
"499","Diontae Spencer","DEN","WR","13.5","11","1.2"
"499","PJ Walker","CAR","QB","13.5","4","3.4"
"501","Devine Ozigbo","JAC","RB","13.3","8","1.7"
"501","Luke Stocker","ATL","TE","13.3","16","0.8"
"503","Justice Hill","BAL","RB","13.0","12","1.1"
"504","Jaydon Mickens","TB","WR","12.8","10","1.3"
"505","Tevin Coleman","SF","RB","12.7","8","1.6"
"506","C.J. Prosise","HOU","RB","12.7","10","1.3"
"507","J.J. Taylor","NE","RB","12.4","6","2.1"
"508","KJ Hill Jr.","LAC","WR","12.3","15","0.8"
"508","Tyrie Cleveland","DEN","WR","12.3","10","1.2"
"510","Pharoh Cooper","CAR","WR","12.3","16","0.8"
"511","Tristan Vizcaino","SF","K","12.0","1","12.0"
"512","Devin Asiasi","NE","TE","11.9","8","1.5"
"513","Taylor Heinicke","WAS","QB","11.7","1","11.7"
"513","Austin Carr","NO","WR","11.7","6","2.0"
"515","Demetrius Harris","CHI","TE","11.5","15","0.8"
"516","Chris Manhertz","CAR","TE","11.2","16","0.7"
"517","Steven Mitchell Jr.","HOU","WR","11.0","6","1.8"
"517","Ja'Marcus Bradley","CLE","WR","11.0","3","3.7"
"519","Theo Riddick","LV","RB","10.7","5","2.1"
"520","Dominique Dafney","GB","TE","10.6","5","2.1"
"521","Deon Yelder","KC","TE","10.6","14","0.8"
"522","Damion Ratley","NYG","WR","10.3","5","2.1"
"522","Cethan Carter","CIN","TE","10.3","15","0.7"
"522","Nick Keizer","KC","TE","10.3","16","0.6"
"522","Matt Barkley","BUF","QB","10.3","5","2.1"
"526","River Cracraft","SF","WR","10.1","9","1.1"
"527","Kai Forbath","LAR","K","10.0","2","5.0"
"527","Trent Sherfield","ARI","WR","10.0","15","0.7"
"529","Levine Toilolo","NYG","TE","9.6","16","0.6"
"529","Courtland Sutton","DEN","WR","9.6","1","9.6"
"529","Reggie Gilliam","BUF","RB","9.6","14","0.7"
"532","Ashton Dulin","IND","WR","9.4","13","0.7"
"533","Artavis Pierce","CHI","RB","9.4","5","1.9"
"534","Johnny Mundt","LAR","TE","9.3","16","0.6"
"535","Trace McSorley","BAL","QB","9.3","2","4.7"
"536","Jake Kumerow","BUF","WR","9.2","6","1.5"
"537","Tyrod Taylor","LAC","QB","9.0","2","4.5"
"538","Joe Reed","LAC","WR","8.9","11","0.8"
"539","Chris Streveler","ARI","QB","8.7","5","1.7"
"540","Marlon Mack","IND","RB","8.6","1","8.6"
"540","Michael Burton","NO","RB","8.6","15","0.6"
"542","Anthony Sherman","KC","RB","8.3","12","0.7"
"542","Nick Westbrook-Ikhine","TEN","WR","8.3","14","0.6"
"544","Jonathan Ward","ARI","RB","8.1","14","0.6"
"545","Trenton Cannon","CAR","RB","7.9","14","0.6"
"546","Juwan Johnson","NO","TE","7.9","7","1.1"
"546","Riley Ridley","CHI","WR","7.9","5","1.6"
"546","Khari Blasingame","TEN","RB","7.9","15","0.5"
"549","Alex Armah Jr.","CAR","RB","7.7","16","0.5"
"549","Colin Thompson","CAR","TE","7.7","15","0.5"
"549","Buddy Howell","HOU","RB","7.7","14","0.6"
"552","Darrius Shepherd","GB","WR","7.6","8","1.0"
"553","Jordan Thomas","Multi","TE","7.3","6","1.2"
"553","Jason Croom","PHI","TE","7.3","4","1.8"
"555","Tanner Hudson","TB","TE","7.1","11","0.7"
"555","Seth Roberts","CAR","WR","7.1","7","1.0"
"557","Isaiah Zuber","NE","WR","7.0","4","1.8"
"557","Ben DiNucci","DAL","QB","7.0","3","2.3"
"557","Ted Ginn Jr.","CHI","WR","7.0","5","1.4"
"560","Josh Malone","NYJ","WR","6.8","4","1.7"
"561","Charlie Woerner","SF","TE","6.6","14","0.5"
"562","Brandon Zylstra","CAR","WR","6.6","16","0.4"
"563","Terry Godwin","JAC","WR","6.5","3","2.2"
"563","Kahale Warring","HOU","TE","6.5","7","0.9"
"565","Dontrell Hilliard","Multi","RB","6.0","7","0.9"
"566","Robert Foster","WAS","WR","5.7","4","1.4"
"567","Lawrence Cager","NYJ","WR","5.5","2","2.8"
"567","Elijhaa Penny","NYG","RB","5.5","14","0.4"
"567","Jaeden Graham","ATL","TE","5.5","16","0.3"
"570","Hunter Bryant","DET","TE","5.4","5","1.1"
"571","Daniel Brown","NYJ","TE","5.1","16","0.3"
"572","Tavon Austin","GB","WR","5.0","4","1.3"
"573","Deontay Burnett","PHI","WR","4.9","2","2.5"
"574","Eric Saubert","JAC","TE","4.6","8","0.6"
"574","Dalton Keene","NE","TE","4.6","6","0.8"
"574","Robert Griffin III","BAL","QB","4.6","4","1.2"
"574","Jonathan Williams","DET","RB","4.6","5","0.9"
"578","Daurice Fountain","IND","WR","4.3","5","0.9"
"579","Stephen Carlson","CLE","TE","4.1","16","0.3"
"580","Austin Walter","SF","RB","4.0","4","1.0"
"580","Antonio Callaway","MIA","WR","4.0","5","0.8"
"580","Ben Ellefson","JAC","TE","4.0","7","0.6"
"580","Jonathan Brown","JAC","K","4.0","1","4.0"
"580","Elliott Fry","ATL","K","4.0","1","4.0"
"585","John Ross","CIN","WR","3.7","3","1.2"
"586","Andy Janovich","CLE","RB","3.7","14","0.3"
"587","Colby Parkinson","SEA","TE","3.6","6","0.6"
"588","Antonio Gandy-Golden","WAS","WR","3.5","6","0.6"
"589","Rashaad Penny","SEA","RB","3.4","3","1.1"
"590","Penny Hart","SEA","WR","3.2","13","0.3"
"591","Bennie Fowler III","NO","WR","3.1","5","0.6"
"591","Bo Scarbrough","SEA","RB","3.1","1","3.1"
"591","Andre Roberts","BUF","WR","3.1","15","0.2"
"594","Brian Hoyer","NE","QB","3.0","1","3.0"
"595","Tyler Huntley","BAL","QB","2.9","2","1.5"
"595","Jason Huntley","PHI","RB","2.9","5","0.6"
"595","Chandler Cox","MIA","RB","2.9","8","0.4"
"598","Tommylee Lewis","NO","WR","2.9","5","0.6"
"598","Donte Moncrief","NE","WR","2.9","6","0.5"
"600","David Blough","DET","QB","2.8","1","2.8"
"601","Jaleel Scott","NYJ","WR","2.6","1","2.6"
"601","LeVante Bellamy","DEN","RB","2.6","5","0.5"
"601","Scottie Phillips","HOU","RB","2.6","8","0.3"
"601","Lamar Miller","CHI","RB","2.6","1","2.6"
"605","Jake Butt","DEN","TE","2.5","5","0.5"
"606","Rico Dowdle","DAL","RB","2.4","15","0.2"
"607","James Proche II","BAL","WR","2.4","14","0.2"
"607","Jameis Winston","NO","QB","2.4","4","0.6"
"607","Tommy Stevens","CAR","QB","2.4","1","2.4"
"607","Derek Carrier","LV","TE","2.4","16","0.2"
"611","Vyncint Smith","NYJ","WR","2.3","7","0.3"
"611","Keith Kirkwood","CAR","WR","2.3","1","2.3"
"613","Josiah Deguara","GB","TE","2.2","2","1.1"
"613","Blake Jarwin","DAL","TE","2.2","1","2.2"
"613","Cody Hollister","TEN","WR","2.2","2","1.1"
"613","Luke Willson","Multi","TE","2.2","8","0.3"
"617","Joshua Dobbs","PIT","QB","2.1","1","2.1"
"617","Marcus Kemp","Multi","WR","2.1","10","0.2"
"619","Temarrick Hemingway","WAS","TE","2.0","8","0.3"
"619","Gehrig Dieter","KC","WR","2.0","4","0.5"
"619","Stephen Hauschka","JAC","K","2.0","1","2.0"
"622","Nathan Peterman","LV","QB","1.9","1","1.9"
"622","D.J. Foster","ARI","RB","1.9","10","0.2"
"624","Case Keenum","CLE","QB","1.8","2","0.9"
"625","Craig Reynolds","JAC","RB","1.7","2","0.9"
"626","Jeremy Sprinkle","WAS","TE","1.6","16","0.1"
"626","Brandon Dillon","MIN","TE","1.6","3","0.5"
"626","Cullen Gillaspia","HOU","RB","1.6","7","0.2"
"629","Trenton Irwin","CIN","WR","1.5","1","1.5"
"629","Dwayne Washington","NO","RB","1.5","11","0.1"
"629","Trevon Wesco","NYJ","TE","1.5","12","0.1"
"632","Isaac Nauta","DET","TE","1.3","7","0.2"
"632","Logan Woodside","TEN","QB","1.3","6","0.2"
"632","Tony Jones Jr.","NO","RB","1.3","1","1.3"
"635","Marcus Baugh","WAS","TE","1.2","8","0.2"
"635","Bruce Miller","JAC","TE","1.2","8","0.2"
"637","Geno Smith","SEA","QB","1.1","1","1.1"
"638","Taylor Russolino","DEN","K","1.0","1","1.0"
"638","Brandon Wright","JAC","K","1.0","1","1.0"
"640","Senorise Perry","TEN","RB","0.9","7","0.1"
"641","Dexter Williams","GB","RB","0.8","3","0.3"
"641","AJ McCarron","HOU","QB","0.8","2","0.4"
"643","Tyler Bray","CHI","QB","0.7","1","0.7"
"644","John Lovett","GB","QB","0.6","8","0.1"
"645","Tony Brooks-James","ATL","RB","0.4","1","0.4"
"646","JoJo Natson","CLE","WR","0.3","3","0.1"
"646","Qadree Ollison","ATL","RB","0.3","3","0.1"
"648","Matthew Slater","NE","WR","0.0","15","0.0"
"648","Elijah Holyfield","PHI","RB","0.0","1","0.0"
"648","Kevin Rader","PIT","TE","0.0","1","0.0"
"648","Hale Hentges","MIN","TE","0.0","1","0.0"
"648","Quinton Bell","TB","WR","0.0","5","0.0"
"648","Chris Rowland","ATL","WR","0.0","2","0.0"
"648","Johnny Stanton IV","CLE","RB","0.0","1","0.0"
"648","Wendell Smallwood","PIT","RB","0.0","1","0.0"
"648","Nate Becker","BUF","TE","0.0","1","0.0"
"648","Dezmon Patmon","IND","WR","0.0","1","0.0"
"648","Trey Quinn","JAC","WR","0.0","1","0.0"
"648","Sean Culkin","BAL","TE","0.0","1","0.0"
"648","K.J. Osborn","MIN","WR","0.0","9","0.0"
"648","Joe Webb III","NYG","QB","0.0","2","0.0"
"648","Javon Leake","WAS","RB","0.0","1","0.0"
"648","Derek Watt","PIT","RB","0.0","12","0.0"
"648","Michael Warren II","WAS","RB","0.0","1","0.0"
"648","Sewo Olonilua","DAL","RB","0.0","2","0.0"
"648","Malik Turner","DAL","WR","0.0","6","0.0"
"648","Andrew Beck","DEN","TE","0.0","10","0.0"
"648","Dan Chisena","MIN","WR","0.0","14","0.0"
"648","Derrick Willies","CLE","WR","0.0","1","0.0"
"648","Seth DeValve","ARI","TE","0.0","4","0.0"
"648","Xavier Jones","LAR","RB","0.0","13","0.0"
"648","Matt Sokol","LAC","TE","0.0","2","0.0"
"648","Jake Bargas","MIN","TE","0.0","1","0.0"
"648","Isaiah Coulter","HOU","WR","0.0","1","0.0"
"648","Jordan Matthews","SF","WR","0.0","2","0.0"
"648","Brycen Hopkins","LAR","TE","0.0","4","0.0"
"648","Reggie Begelton","GB","WR","0.0","1","0.0"
"648","Kristian Wilkerson","NE","WR","0.0","1","0.0"
"648","Mike White","NYJ","QB","0.0","1","0.0"
"648","Ricky Seals-Jones","KC","TE","0.0","2","0.0"
"648","Juwann Winfree","GB","WR","0.0","2","0.0"
"648","Tyler Davis","JAC","TE","0.0","8","0.0"
"648","Johnny Holton","NYG","WR","0.0","1","0.0"
"648","Easton Stick","LAC","QB","0.0","1","0.0"
"648","Deante Burton","DAL","WR","0.0","4","0.0"
"648","Hakeem Butler","PHI","WR","0.0","2","0.0"
"648","J.P. Holtz","CHI","TE","0.0","16","0.0"
"648","Deon Cain","PIT","WR","0.0","2","0.0"
"648","Taywan Taylor","CLE","WR","0.0","3","0.0"
"648","Rashod Berry","NE","TE","0.0","3","0.0"
"648","Daniel Helm","SF","TE","0.0","5","0.0"
"648","Jeremy Cox","DEN","RB","0.0","7","0.0"
"648","Duke Williams","BUF","WR","0.0","1","0.0"
"648","Beau Brinkley","TEN","TE","0.0","7","0.0"
"648","Adrian Killins Jr.","PHI","RB","0.0","1","0.0"
"648","Garrett Griffin","NO","TE","0.0","4","0.0"
"648","Keelan Doss","LV","WR","0.0","1","0.0"
"648","Kevin White","SF","WR","0.0","3","0.0"
"648","Evan Baylis","ARI","TE","0.0","5","0.0"
"648","Kyle Nelson","SF","TE","0.0","3","0.0"
"648","Eric Tomlinson","Multi","TE","0.0","7","0.0"
"648","Trey Edmunds","PIT","RB","0.0","4","0.0"
"648","Tajae Sharpe","MIN","WR","0.0","4","0.0"
"648","Jason Moore Jr.","LAC","WR","0.0","2","0.0"
"648","Raymond Calais","LAR","RB","0.0","4","0.0"
"648","Mason Schreck","CIN","TE","0.0","14","0.0"
"648","Jeff Badet","WAS","WR","0.0","3","0.0"
"648","Ross Travis","NYJ","TE","0.0","1","0.0"
"648","Stanley Morgan Jr.","CIN","WR","0.0","6","0.0"
"648","Darius Bradwell","LAC","RB","0.0","2","0.0"
"648","Noah Togiai","IND","TE","0.0","4","0.0"
"648","Chris Myarick","MIA","TE","0.0","3","0.0"
"648","Zach Gentry","PIT","TE","0.0","2","0.0"
"648","Caleb Wilson","PHI","TE","0.0","5","0.0"
"648","Sean McKeon","DAL","TE","0.0","14","0.0"
"648","Farrod Green","IND","TE","0.0","1","0.0"
"648","Kirk Merritt","MIA","WR","0.0","1","0.0"
"648","Taiwan Jones","BUF","RB","0.0","13","0.0"
"648","Nathan Cottrell","JAC","RB","0.0","8","0.0"
"648","Alex Bachman","NYG","WR","0.0","1","0.0"
"648","Cyril Grayson Jr.","TB","WR","0.0","3","0.0"
"648","Justin Hardee","NO","WR","0.0","10","0.0"
"648","Marken Michel","CAR","WR","0.0","2","0.0"
"648","Antony Auclair","TB","TE","0.0","8","0.0"
"648","Brandin Bryant","BUF","RB","0.0","1","0.0"
"648","Stephen Sullivan","SEA","TE","0.0","1","0.0"
"648","Chris Moore","BAL","WR","0.0","3","0.0"
"648","Kenjon Barner","TB","RB","0.0","6","0.0"
"648","Fred Brown","DEN","WR","0.0","1","0.0"
"648","Clark Harris","CIN","TE","0.0","16","0.0"
"648","Matt Cole","SF","WR","0.0","1","0.0"
"732","DeAndre Carter","Multi","WR","-0.2","13","-0.0"
"733","Matt Schaub","ATL","QB","-0.4","1","-0.4"
"734","Nate Sudfeld","PHI","QB","-0.5","1","-0.5"
"735","Dede Westbrook","JAC","WR","-0.6","2","-0.3"
"736","Kendall Hinton","DEN","WR","-0.8","1","-0.8"
"737","Tim Boyle","GB","QB","-0.9","8","-0.1"
"738","Nsimba Webster","LAR","WR","-2.0","16","-0.1"
"738","Dwayne Harris","CHI","WR","-2.0","3","-0.7"
"740","Ty Long","LAC","K","-2.8","16","-0.2"
""
""
